Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,36.925,-41.05,0.0,top
C2,100nF,C_0603_1608Metric,40.6654,-44.2468,-90.0,top
C3,10uF,C_0805_2012Metric,49.9,-45.45,-90.0,top
C4,100nF,C_0603_1608Metric,51.3,-39.0,0.0,top
C5,10uF,C_0805_2012Metric,51.55,-37.25,180.0,top
C6,1uF,C_0603_1608Metric,51.3,-40.5,180.0,top
C7,10uF,C_0805_2012Metric,49.9,-49.95,90.0,top
C8,100uF,CP_Elec_5x5.4,37.5666,-54.80695,180.0,top
J10,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,45.0,-61.115,0.0,top
MK1,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,32.801249,-39.35,-90.0,top
R1,100k,R_0603_1608Metric,38.0238,-37.719,0.0,top
R2,10k,R_0603_1608Metric,38.0238,-39.219,0.0,top
R3,10k,R_0603_1608Metric,51.3,-42.0,0.0,top
R4,5.1k,R_0603_1608Metric,51.9938,-60.7,0.0,top
R5,5.1k,R_0603_1608Metric,51.9938,-62.2,0.0,top
SW1,FLASH_SW,SW_Push_1P1T_XKB_TS-1187A,45.0,-38.9,0.0,top
U1,CH340N,SOP-8_3.9x4.9mm_P1.27mm,37.211,-46.88,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,45.0,-47.7,270.0,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,45.0,-46.595,270.0,bottom
